time,pack_voltage,pack_current
0.0,17.029691540034158,-30.0
1.0,17.06947640261546,-30.0
2.2,17.07694273494139,-29.866666666666667
3.64,17.08532855845089,-29.706666666666667
5.368,17.094623899874872,-29.514666666666667
7.4416,17.104815566715168,-29.284266666666667
9.92992,17.11584370001365,-29.007786666666668
12.915904,17.127582390043447,-28.676010666666667
16.4990848,17.1398192916947,-28.27787946666667
20.79890176,17.15223703603487,-27.800122026666667
25.79890176,17.163898483383996,-27.226813098666668
30.79890176,17.1723028353396,-26.560146432
35.79890176,17.17867487318346,-25.893479765333332
40.79890176,17.183284333785373,-25.226813098666668
45.79890176,17.18635537552243,-24.560146432
50.79890176,17.18807500829669,-23.893479765333332
55.79890176,17.18859972546917,-23.226813098666668
60.79890176,17.188060741560665,-22.560146432
65.79890176,17.18656839622546,-21.893479765333332
70.79890176,17.184215699301483,-21.226813098666668
75.79890176,17.181081267233996,-20.560146432
80.79890176,17.17723172856563,-19.893479765333332
85.79890176,17.17272383077992,-19.226813098666668
90.79890176,17.167606034762848,-18.560146432
95.79890176,17.161919935142713,-17.893479765333332
100.79890176,17.15570141871961,-17.226813098666668
105.79890176,17.148981632009644,-16.560146432
110.79890176,17.141787791865347,-15.893479765333332
115.79890176,17.134143867123786,-15.226813098666666
120.79890176,17.12607115411993,-14.560146432
125.79890176,17.11758876461465,-13.893479765333332
130.79890176,17.10871404111111,-13.226813098666668
135.79890176,17.099462911558795,-12.560146432
140.79890176,17.08985019297217,-11.893479765333332
145.79890176,17.079889851438306,-11.226813098666668
150.79890176,17.06959522429114,-10.560146432
155.79890176,17.05897920883718,-9.893479765333332
160.79890176,17.04805442089341,-9.226813098666668
165.79890176,17.0368333255176,-8.560146432
170.79890176,17.02532834165629,-7.893479765333332
175.79890176,17.013551921995738,-7.226813098666668
180.79890176,17.001516609063692,-6.560146432
185.79890176,16.989235068582076,-5.893479765333332
190.79890176,16.976720101194783,-5.226813098666668
195.79890176,16.963984633962273,-4.560146432
200.79890176,16.951041693390206,-3.893479765333332
205.79890176,16.937904362196385,-3.2268130986666677
210.79890176,16.92458572246954,-2.560146432
215.79890176,16.911098788277602,-1.893479765333332
220.79890176,16.897456431094103,-1.2268130986666677
225.79890176,16.883671301583522,-0.5601464319999998
230.79890176,16.879728873210233,0.10652023466666805
235.79890176,16.86617509054094,0.7731869013333323
240.79890176,16.852412446803648,1.4398535680000002
245.79890176,16.83847688476905,2.106520234666668
250.79890176,16.824392000199932,2.7731869013333323
255.79890176,16.810178014761167,3.4398535680000037
260.79890176000004,16.795852538552346,4.106520234666668
265.79890176000004,16.781431048998847,4.7731869013333394
270.79890176000004,16.76692722294334,5.439853568000004
275.79890176000004,16.752353187151726,6.106520234666668
280.79890176000004,16.737719719490478,6.7731869013333394
285.79890176000004,16.723036417911523,7.439853568000004
290.79890176000004,16.70831184704793,8.106520234666668
295.79890176000004,16.693553668366356,8.77318690133334
300.79890176000004,16.678768757617913,9.439853568000004
305.79890176000004,16.663963311986613,10.106520234666668
310.79890176000004,16.649142948488077,10.77318690133334
315.79890176000004,16.634312794632393,11.439853568000004
320.79890176000004,16.61947757202776,12.106520234666668
325.79890176000004,16.604641673394898,12.77318690133334
330.79890176000004,16.58980923334537,13.439853568000004
335.79890176000004,16.574984193213364,14.106520234666668
340.79890176000004,16.5601703602018,14.77318690133334
