time,pack_voltage
0.0,7.986716079942968
1.0,7.922627907515491
2.1,7.912933808167372
3.3100000000000005,7.902891733003078
4.641000000000001,7.892567109148785
6.105100000000002,7.882038544576953
7.7156100000000025,7.871394876969537
9.487171000000004,7.860732584301379
11.435888100000005,7.850152800845672
13.579476910000007,7.839757634027953
15.937424601000009,7.829645719893109
18.53116706110001,7.8199071319107585
21.384283767210015,7.81061789040143
24.522712143931017,7.801834400756818
27.97498335832412,7.793588172566891
31.772481694156536,7.785881149464776
35.949729863572195,7.77868194259459
40.544702849929415,7.771923255219632
45.59917313492236,7.765500846867505
51.1590904484146,7.759274480563626
57.27499949325607,7.753071255059748
64.00249944258168,7.746691262862356
71.40274938683986,7.73991464384077
79.54302432552385,7.732508821224346
88.49732675807624,7.724236396455298
98.34705943388387,7.714866682135845
109.18176537727226,7.7041932864181435
121.09994191499949,7.692055955703662
134.20993610649944,7.678361559402047
148.6309297171494,7.66309940791026
164.49402268886433,7.646348098351867
181.94342495775078,7.6282722948356
201.13776745352587,7.609107763522129
222.25154419887846,7.589132119908681
245.47669861876633,7.568618826470743
271.024368480643,7.547777683900778
299.1268053287073,7.52670378548121
330.03948586157804,7.505366657102766
364.0434344477359,7.483629376247636
401.44777789250946,7.461234103602866
442.5925556817604,7.437713562252188
487.8518112499365,7.412221637892846
537.6369923749302,7.3832291916882085
587.6369923749302,7.3511401695960155
637.6369923749302,7.313204951961842
687.6369923749302,7.26558516774953
737.6369923749302,7.207228318185298
787.6369923749302,7.147012202928713
837.6369923749302,7.0958188184466575
887.6369923749302,7.054881784198125
937.6369923749302,7.0211432714866735
987.6369923749302,6.99215057185143
1037.6369923749303,6.966340089810188
1087.6369923749303,6.9426366458016995
1137.6369923749303,6.920256014018401
1187.6369923749303,6.898607420241365
1237.6369923749303,6.8772165223151775
1287.6369923749303,6.855648659823166
1337.6369923749303,6.833427426350098
1387.6369923749303,6.80994783725118
1437.6369923749303,6.784396875841923
1487.6369923749303,6.755731697570867
1537.6369923749303,6.7228309845592715
1587.6369923749303,6.68496826508056
1637.6369923749303,6.642567625116682
1687.6369923749303,6.59767805440212
1737.6369923749303,6.553353611204469
1787.6369923749303,6.512076660932733
1837.6369923749303,6.474486534653362
1887.6369923749303,6.438992939218858
1937.6369923749303,6.401250054366705
1987.6369923749303,6.351987186911538
2037.6369923749303,6.274384562190134
2087.6369923749303,6.153842635791554
2137.6369923749303,6.007021289234887
2187.6369923749303,5.861035882658692
2237.6369923749303,5.693316909585399
2287.6369923749303,5.432136255146334
2337.6369923749303,4.952043214445595
2387.6369923749303,4.014489645690828
